기관명,기관구분,주소,홈페이지
(복지)예사랑병원,병원,부산광역시서구옥천로130번길38(아미동2가),
(의)고담의료재단마더스병원,병원,울산광역시남구화합로107(달동),http://motherth.co.kr/
(의)나사렛의료재단나사렛국제병원,종합병원,인천광역시연수구먼우금로98-(동춘동),https://www.nasaret.co.kr/
(의)아나의료재단강릉아나병원,병원,강원도강릉시용지로129129,www.anahospital.kr
(재)예수의꽃동네유지재단인곡자애병원,병원,충청북도음성군맹동면꽃동네길37-0(),
(재)천주의성요한병원,중독관리통합지원센터,광주광역시북구태봉로32유동115-1,http://www.yohanhos.or.kr/
(학)일송학원한림대학교성심병원,기초정신건강복지센터,관평로170번길22,https://hallym.hallym.or.kr/
21C한일병원,병원,경상남도거제시사등면지석리580-4,http://www.21c-hanil.co.kr/
BH병원,병원,부산광역시남구수영로165,http://www.bh-hospital.co.kr/
Dr.고신경정신과의원,의원,서울특별시광진구능동로3243층(중곡동),
Dr.신형직의비타민정신과의원,의원,강원도강릉시경강로21096층(임당동문선빌딩),
e-맑은정신과의원,의원,부산광역시영도구태종로97(대교동2가),
M병원,병원,대구광역시북구팔달로147(노원동3가),
The(더)공감정신건강의학과의원,의원,9403층(조원동일호골든타워),http://www.suwonpsy.com/
W정신건강의학과의원,의원,경기도성남시분당구판교역로178서건타워402호,http://www.wmindclinic.com/
Y정신건강의학과의원,의원,경기도화성시동탄반석로134302호(반송동에이치원메디컬센터),
가득한집,정신재활시설,서울특별시금천구시흥대로133-7301호(시흥동),www.homelessness.or.kr
가람슬기,정신재활시설,서울특별시광진구천호대로116길109301,www.가람슬기.kr
가람신경정신과의원,의원,서울특별시관악구시흥대로554(신림동),http://www.garam-clinic.com/main/main.php
가로수정신건강의학과의원,의원,인천광역시남동구논고개로114에이스타워203호(논현동),https://garosupsychiatry.com/
가야신경정신과의원,의원,부산광역시사상구가야대로288202호(주례동창조상가),
가오푸른정신건강의학과의원,의원,대전광역시동구동구청로952층201호(가오동예시티),https://lkipsy.modoo.at/
가온길,정신재활시설,서울특별시노원구공릉로58나길172층(하계동),
가온누리,정신재활시설,충청남도아산시번영로169번길6-5,www.gaon-nuri.or.kr
가인정신건강의학과의원,의원,경기도광주시중앙로95-3(역동서울클리닉센터B동702호),http://www.gainmind.co.kr/
가족사랑서울정신건강의학과의원,의원,서울특별시영등포구당산로222(당산동5가),http://www.ifamilylove.co.kr/
가족사랑서울정신건강의학과의원,의원,서울특별시동작구보라매로113(대방동),http://www.ifamilylove.co.kr/
가족사랑정신과의원,의원,대구광역시중구달구벌대로2111(덕산동),
가족사랑정신과의원,의원,서울특별시강서구양천로4615층(가양동),
가톨릭관동대학교국제성모병원,종합병원,인천광역시서구심곡로100번길25-0인천국제성모병원,https://www.ish.or.kr/
가톨릭대학교성빈센트병원,종합병원,경기도수원시팔달구중부대로93(지동),https://www.cmcvincent.or.k
가톨릭대학교여의도성모병원,종합병원,서울특별시영등포구63로10여의도성모병원(여의도동),https://www.cmcsungmo.or.kr/
가톨릭대학교은평성모병원,종합병원,서울특별시은평구통일로1021(진관동),https://www.cmcep.or.kr/
가톨릭대학교부천성모병원,종합병원,경기도부천시소사로327(소사동),https://www.cmcbucheon.or.kr/
가톨릭대학교의정부성모병원,종합병원,경기도의정부시천보로271의정부성모병원(금오동),https://www.cmcujb.or.kr/
가톨릭대학교인천성모병원,상급종합병원,인천광역시부평구동수로56(부평동),https://www.cmcism.or.kr/
가톨릭정신건강의학과의원,의원,제주특별자치도제주시도령로1(노형동),
가평군보건소,보건소,경기도가평군가평읍가화로155-18,https://www.gp.go.kr/
가평군자살예방센터,자살예방센터,경기도가평군가평읍가화로155-15,www.gpmhc.com
가평꽃동네정신요양원,정신요양시설,경기도가평군조종면꽃동네길60,caf?'daum.net/fvjhouse
강남연정신건강의학과의원,의원,서울특별시강남구학동로338강남파라곤1층101호,http://www.yeonclinic.co.kr/
강남구보건소,보건소,서울특별시강남구선릉로668,https://health.gangnam.go.kr
강남구정신건강복지센터,기초정신건강복지센터,서울특별시강남구자곡로100자곡문화센터2층,https://health.gangnam.go.kr/
강남구립행복요양병원,공립,서울특별시강남구헌릉로590길60,http://www.gangnamguhospital.kr/
강남병원,종합병원,경기도용인시기흥구중부대로411강남병원(신갈동),http://www.knmc.or.kr/
강남정신건강의학과의원,의원,서울특별시강남구테헤란로119(역삼동5층일부),
강남정신건강의학괴의원,의원,대구북구신암로111강남메디칼타워3층303호,https://blog.naver.com/hiroro35
강남정신과의원,의원,서울특별시강동구천호대로997,
강남푸른정신건강의학과의원,의원,서울특별시서초구서초동1329-65층501호,https://gangnampureun.modoo.at/
강남하늘정신건강의학과의원,의원,서울특별시강남구봉은사로1055층,https://gangnamskyclinic.modoo.at/
강동경희대학교병원,종합병원,서울특별시강동구동남로892(상일동),http://www.khnmc.or.kr/
강동구보건소,보건소,서울특별시강동구성내로45,https://health.gangdong.go.kr/
강동우정신건강의학과의원,의원,경기도성남시분당구성남대로345정자역프라자빌딩506호(정자동),https://khangpsy.modoo.at/
강릉보건소,보건소,강원도강릉시남부로17번길38(내곡동),https://www.gn.go.kr/
강릉시정신건강복지센터,기초정신건강복지센터,강릉시남구길23번길243층4층,www.gnmind.com
강릉아산병원,종합병원,강원도강릉시사천면방동길38,https://www.gnah.co.kr/
강릉율곡병원,병원,강원도강릉시동해대로3304번길11(난곡동),http://www.yghospital.co.kr/
강릉중독관리통합지원센터,중독관리통합지원센터,강원도강릉시용지로144리치빌딩4층,http://gnamc.or.kr/
강병구정신건강의학과의원,의원,부산광역시동래구충렬대로132(온천동),
강봉선신경정신과의원,의원,강원도원주시서원대로3833층401호(개운동한신프라자),
강북구정신건강복지센터,기초정신건강복지센터,서울특별시강북구삼양로19길154삼각산분소3층,ehealth.gangbuk.go.kr/site/kr/maeum
강북구보건소,보건소,서울특별시강북구한천로897,https://ehealth.gangbuk.go.kr/
강북삼성병원,상급종합병원,서울특별시종로구새문안로29(평동),https://www.kbsmc.co.kr/
강서구보건소,보건소,서울특별시강서구공항대로561강서보건소,
강서그룹홈,정신재활시설,서울특별시강서구초록마을로16길20,www.wmind.org
강서양지,정신재활시설,서울특별시강서구등촌로35가길26301호,https://blog.naver.com/gsyj1
강서필병원,병원,서울특별시강서구강서로17길24,http://www.feelhp.com/
강신경정신과의원,의원,서울특별시관악구신림로340르네상스복합쇼핑몰13층1304호,http://kskclinic.kr/
강신삼신경정신과의원,의원,서울동대문구홍릉로5,
강원대학교병원,국립,강원도춘천시백령로156,
강원대학교병원,종합병원,강원도춘천시백령로156(효자동),
